27760309	ucp1-cre	4
27760309	lsd1ucp1-cre	1
26316427	aav-cre	1
28128208	lysm-cre	4
28743802	myogenin-cre	3
28743802	adiponectin-cre	2
27777311	myf5-cre	13
27777311	ad-cre	3
27777311	mscvhygro-cre	1
27777311	mscvpuro-cre	1
25190816	fabp4-cre	7
30209975	ucp1-cre	1
28346409	lyz2-cre	123
28346409	lysm-cre	1
30765523	aav-cre	6
30765523	nestin-cre	1
26413466	ap2-cre	1
24439384	zp3-cre	1
24439384	adiponectin-cre	4
30862682	adn-cre	15
30862682	adiponectin-cre	2
31845114	rip-cre	2
17948131	ap2-cre	4
32035087	camp-cre	1
27641099	er-cre	1
31968253	cmv-cre	1
29979672	fab-cre	135
29979672	ucp1-cre	11
26175716	fabp4-cre	4
26175716	adipoq-cre	3
31415180	rosa-cre	1
28915325	rip-cre	1
19041761	tre-cre	1
31092580	tie2-cre	2
24480338	ap2-cre	8
24480338	retn-cre	5
24480338	adipoq-cre	2
24480338	ucp1-cre	1
24480338	nestin-cre	1
24480338	4-cre	1
22855570	sm22-cre	4
12480537	cmv-cre	1
31420304	ucp-1-cre	1
31420304	adiponectin-cre	2
31420304	a-cre	4
31420304	u-cre	4
28687706	dmp1-cre	13
28687706	col3.6-cre	1
30022354	sm22-cre	2
29066461	rip-cre	2
30606913	adiponectin-cre	2
30606913	myf-5-cre	1
30606913	ucp1-cre	1
16082385	adcmv-cre	1
28988979	insulin2-cre	1
28988979	ap2-cre	1
29579167	actin-cre	1
29579167	adiponectin-cre	2
27777310	myf5-cre	28
27777310	ad-cre	6
27777310	mscvhygro-cre	1
27777310	mscvpuro-cre	1
29861389	rosa26ert2-cre	2
29861389	adipoq-cre	3
29861389	ucp1-cre	2
29861389	b6-tg(ucp1-cre	2
29861389	rosaert2-cre	1
29449715	rip-cre	1
29146410	cart-cre	14
31355852	myf5-cre	3
31355852	pax3-cre	1
9658406	ucp-cre	42
9658406	pepck-cre	5
9658406	s-cre	4
9658406	mutucp-cre	5
9658406	protein-(mutucp-cre	1
31451658	ucp1-cre	3
